id_envio,centro_distribucion,transportista,tipo_servicio,dia_semana,distancia_km,peso_kg,volumen_m3,n_paradas,temperatura_ambiente_c,costo_combustible_usd,tiempo_transito_h,calificacion_cliente,retraso
101426,CD-Salto,TR-050,Económico ,martes,25.51,3.18,0.042,7,19.5,10.27,1.41,3.0,0
900008,CD-Montevideo,TR-040,Estándar,martes,274.31,3.99,0.056,0,25.4,15.55,5.29,4.2,0
101306,CD-Montevideo,TR-109,Express,miércoles,31.01,2.88,0.0301,8,20.7,14.71,4.08,4.8,0
102661,CD-Montevideo,TR-030,Express,miércoles,227980.0,12.28,0.0806,2,7.9,19.76,2.25,4.6,0
101614,CD-Canelones,TR-043,Económico,viernes,21.95,4.22,0.0607,7,21.7,7.18,2.25,4.7,0
103425,CD-Maldonado,TR-008,Express,viernes,173.32,1.86,0.0404,4,18.6,13.16,4.59,3.6,0
100471,CD-Montevideo,TR-095,Económico,miércoles,248.08,4.33,,0,18.8,18.53,6.52,3.4,0
101100,CD-Maldonado,TR-114,Estándar,lunes,190.02,2.28,,2,9.6,12.44,3.38,4.2,0
101799,CD-Montevideo,TR-082,Económico,viernes,27.2,5.91,0.0647,6,19.3,3.66,1.48,4.2,0
100573,CD-Salto,TR-072,ESTÁNDAR,miércoles,24.85,2.46,0.0454,8,,11.48,1.89,2.9,1
101737,CD-Salto,TR-013,Express,sábado,192.34,2.09,0.0271,2,14.7,13.02,4.1,4.0,0
102062,CD-Montevideo,TR-079,Estándar,lunes,406.51,4.88,0.0429,4,23.7,32.01,7.94,3.5,0
103387,CD-Montevideo,TR-003,Estándar,lunes,28.24,6.74,0.0553,10,23.8,18.54,2.8,2.9,0
102698,CD-Montevideo,TR-069,Express,miércoles,35.33,2.56,0.0442,11,12.4,20.04,3.05,4.1,0
102466,CD-Maldonado,TR-117,Express,martes,38.43,9.57,0.0643,5,19.2,9.58,3.4,,0
100582,CD-Montevideo,TR-098,Económico,lunes,27.88,5.19,0.0414,8,17.7,19.89,2.61,3.0,0
102373,CD-Montevideo,TR-049,ECONÓMICO,jueves,35.42,3.65,0.0263,7,19.5,14.55,3.47,3.3,0
102244,CD-Salto,TR-027,ECONÓMICO,viernes,342.71,1.3,0.0376,2,21.7,31.38,6.77,4.3,0
103309,CD-Salto,TR-094,Estándar,viernes,155.46,4.1,0.0659,2,,10.38,3.0,4.7,0
100649,CD-Montevideo,TR-039,Estándar,martes,231.27,3.89,0.036,0,24.0,17.03,5.32,4.6,0
100600,CD-Salto,TR-103,Económico,miércoles,23.59,13.23,0.0758,4,19.8,5.98,1.66,3.2,0
101303,CD-Canelones,TR-074,Express,jueves,163.53,4.19,0.0466,5,14.2,17.52,13.87,,1
102069,CD-Salto,TR-086,Estándar,viernes,22.36,4.3,0.0471,4,13.0,7.32,1.34,3.7,0
102051,CD-Salto,TR-035,ESTÁNDAR,jueves,218.71,6.54,0.0828,1,20.1,18.31,2.71,3.6,0
103230,CD-Montevideo,TR-056,Estándar,martes,19.56,5.03,0.0495,10,20.2,9.22,2.63,2.9,0
101820,CD-Maldonado,TR-074,ESTÁNDAR,miércoles,17.45,4.51,0.0362,8,17.2,13.42,2.44,4.4,0
102339,CD-Canelones,TR-021,Económico,jueves,292.32,1.89,0.0188,1,21.0,18.3,5.71,4.0,0
102232,CD-Montevideo,TR-117,Estándar,lunes,35.8,1.96,0.0277,9,16.4,11.07,3.53,3.8,0
103572,CD-Maldonado,TR-076,Económico,martes,34.51,8.49,,7,19.1,11.6,4.28,4.5,0
103569,CD-Canelones,TR-077,Estándar,miércoles,31.78,4.8,0.0638,10,20.6,14.64,2.16,1.3,0
101313,CD-Salto,TR-020,express,jueves,28.29,5.11,0.0453,8,19.9,16.58,0.68,4.0,0
101295,CD-Canelones,TR-072,Estándar,viernes,246.76,9.78,0.0779,1,33.8,15.59,5.65,3.4,0
102906,CD-Maldonado,TR-071,EXPRESS,lunes,35.86,1.76,0.0227,6,25.7,9.39,2.6,4.5,0
101118,CD-Montevideo,TR-112,Express,jueves,242.14,7.58,0.0511,3,26.3,21.59,6.11,3.7,0
100462,CD-Montevideo,TR-036,Económico,jueves,23.73,4.49,,4,15.8,9.59,2.12,4.8,0
100332,CD-Canelones,TR-117,Económico,miércoles,18.68,2.71,0.0518,9,20.8,14.1,3.3,3.1,0
100899,CD-Salto,TR-053,Estándar,lunes,139.76,8.27,0.0499,1,,9.53,2.61,4.5,0
100532,CD-Canelones,TR-043,Express,martes,26.99,1.81,0.0317,16,21.5,16.71,5.85,4.9,0
103411,CD-Montevideo,TR-083,Estándar,viernes,188.22,19.39,0.091,1,30.3,9.49,4.6,4.7,0
101845,CD-Montevideo,TR-119,Express,viernes,24.68,3.24,0.0233,9,,13.61,3.72,4.0,1
100430,CD-Montevideo,TR-112,Estándar,lunes,291.6,6.46,0.0563,0,18.5,21.75,6.2,4.6,0
100642,CD-Canelones,TR-115,Express,jueves,34.82,8.15,0.0454,8,24.9,9.33,2.74,4.1,0
100153,CD-Canelones,TR-099,Express,sábado,28.46,3.94,0.044,12,11.6,16.17,2.28,2.8,0
101896,CD-Montevideo,TR-026,Estándar,miércoles,300.95,8.38,0.0509,1,15.7,20.63,5.84,,0
103329,CD-Montevideo,TR-006,Estándar,martes,218.75,12.88,0.0733,1,25.7,18.43,5.73,4.6,0
103022,CD-Maldonado,TR-112,Económico,miércoles,39.61,14.87,0.1023,7,17.4,11.82,2.32,4.0,0
100071,CD-Maldonado,TR-088,Express,miércoles,12.55,4.39,0.0618,6,25.5,9.39,13.29,,1
100897,CD-Salto,TR-108,Económico,viernes,277.3,2.11,0.0387,0,26.4,19.41,5.53,4.3,0
100129,CD-Salto,TR-057,Estándar,martes,304.92,6.22,0.0446,3,20.7,23.33,7.37,4.8,0
102996,CD-Canelones,TR-116,Estándar,sábado,23.54,1.93,0.0365,3,23.3,6.39,1.25,3.6,0
102503,CD-Canelones,TR-067,Económico,jueves,29.65,5.63,0.0501,6,9.1,12.47,3.35,4.6,0
102758,CD-Montevideo,TR-061,Económico,martes,31.72,6.07,0.0378,7,19.9,12.57,1.42,1.7,0
101564,CD-Salto,TR-003,estándar,sábado,21.14,6.16,0.0715,6,16.7,8.91,1.46,3.0,0
102754,CD-Maldonado,TR-069,Estándar,miércoles,45.12,6.97,0.0392,5,18.4,6.78,4.08,3.6,0
102603,CD-Salto,TR-047,Estándar,jueves,200.54,8.75,0.0616,0,,6.16,3.3,1.9,1
101364,CD-Montevideo,TR-040,Estándar,viernes,311.8,7.04,0.0704,1,22.7,23.83,4.96,2.2,1
103195,CD-Maldonado,TR-026,Express,jueves,23.54,10.24,0.0587,7,20.7,10.24,3.07,4.9,0
101400,CD-Canelones,TR-005,Estándar,martes,27.62,6.26,0.04,5,31.0,11.6,1.83,3.1,0
103560,CD-Canelones,TR-073,Estándar,lunes,234.69,1.57,0.0376,2,24.0,11.61,5.62,3.4,0
100814,CD-Maldonado,TR-009,express,viernes,297.76,4.65,0.0409,1,14.1,22.44,5.52,,0
103137,CD-Canelones,TR-095,Estándar,miércoles,23.14,4.59,0.0414,5,14.3,12.44,0.58,2.7,0
101659,CD-Montevideo,TR-018,Estándar,jueves,51.85,6.24,0.0488,10,29.8,15.2,3.5,,0
103208,CD-Maldonado,TR-068,Estándar,jueves,28.71,2.04,,6,20.2,5.49,1.34,4.7,0
101933,CD-Montevideo,TR-054,Estándar,martes,31.95,3.52,0.0436,8,15.3,10.27,3.25,4.9,0
102099,CD-Canelones,TR-056,Estándar,lunes,37.44,3.69,0.038,7,27.7,11.26,2.94,3.5,1
102340,CD-Canelones,TR-016,Express,viernes,140.76,3.24,0.0411,3,11.2,11.89,4.42,4.6,0
102777,CD-Maldonado,TR-016,Express,jueves,29.68,1.76,0.047,9,16.1,12.86,4.3,4.4,0
100655,CD-Montevideo,TR-027,Económico,viernes,28.95,2.27,0.0231,8,12.7,14.24,3.94,4.0,0
101958,CD-Maldonado,TR-017,ESTÁNDAR,sábado,247.64,2.57,0.0293,2,23.5,21.2,6.27,4.8,0
103029,CD-Maldonado,TR-032,ECONÓMICO,jueves,24.64,4.07,0.053,9,14.7,10.75,2.96,4.8,0
102911,CD-Salto,TR-022,ECONÓMICO,jueves,18.76,6.88,0.0473,5,,12.2,1.18,3.9,0
101628,CD-Montevideo,TR-082,Express,martes,280.61,1.56,0.0319,2,20.5,19.18,6.0,3.6,0
102151,CD-Montevideo,TR-011,Estándar,miércoles,23.09,4.07,0.0402,4,28.2,10.22,2.56,4.6,0
102480,CD-Canelones,TR-026,Económico,viernes,35.52,4.06,0.0281,6,20.3,11.73,3.31,,0
101833,CD-Salto,TR-078,express,lunes,19.52,3.29,0.0518,2,,3.45,0.61,3.1,0
102530,CD-Canelones,TR-034,Estándar,sábado,20.49,2.02,,9,16.3,10.96,4.43,,0
100148,CD-Canelones,TR-103,Estándar,viernes,45.24,9.43,0.0535,3,-99.0,9.47,2.42,4.0,0
102387,CD-Salto,TR-038,ECONÓMICO,martes,37.1,2.8,0.0301,13,18.5,12.82,3.68,3.8,0
102625,CD-Maldonado,TR-119,Económico ,miércoles,23.15,5.28,0.035,6,25.3,12.52,4.25,2.7,0
102889,CD-Montevideo,TR-050,ECONÓMICO,jueves,219.34,1.65,0.0494,2,21.1,19.77,4.87,4.4,0
101514,CD-Canelones,TR-095,ESTÁNDAR,lunes,30.7,9.33,0.0474,5,19.9,9.32,1.64,,0
102207,CD-Montevideo,TR-105,Económico,jueves,199.65,1.15,0.0575,4,22.0,18.54,3.95,4.7,0
102409,CD-Canelones,TR-011,económico,viernes,33.94,6.36,0.0518,6,13.9,14.49,2.5,2.6,0
100372,CD-Canelones,TR-111,Económico,lunes,240.14,4.16,0.0535,1,8.5,17.0,5.53,4.9,0
101859,CD-Montevideo,TR-016,Express,lunes,16.01,3.53,0.0349,7,17.4,8.34,4.03,3.5,0
101135,CD-Montevideo,TR-025,económico,miércoles,34.48,3.97,0.0294,7,12.6,13.44,10.69,,1
103430,CD-Canelones,TR-072,Express,viernes,28.58,8.53,0.0617,8,17.5,16.8,4.59,4.5,0
101511,CD-Montevideo,TR-045,Estándar,viernes,299.31,11.44,0.073,3,19.0,28.69,5.47,4.3,0
102822,CD-Montevideo,TR-051,Express,martes,21.62,4.52,0.0284,5,20.9,11.21,4.84,4.4,0
102042,CD-Montevideo,TR-070,Express,viernes,22.39,12.47,0.087,6,18.2,9.39,1.76,4.5,0
102103,CD-Salto,TR-059,Económico,jueves,384.82,3.12,0.0514,1,,20.46,6.96,,0
102922,CD-Canelones,TR-090,Express,viernes,211.19,3.45,0.0387,2,20.1,19.54,3.96,4.1,0
101689,CD-Salto,TR-101,Económico,miércoles,33.46,5.49,0.0665,10,,14.75,1.85,2.0,0
102968,CD-Montevideo,TR-088,Estándar,miércoles,13.39,2.85,0.0534,7,28.5,10.43,3.69,4.5,0
101682,CD-Montevideo,TR-011,Económico,martes,20.38,3.27,0.0427,9,25.9,13.62,2.95,3.0,1
100050,CD-Canelones,TR-003,Estándar ,jueves,197.05,22.65,0.118,3,14.6,15.17,3.52,4.6,0
102649,CD-Salto,TR-019,ESTÁNDAR,martes,31.81,2.88,0.0238,12,,14.19,6.09,4.9,0
103286,CD-Montevideo,TR-012,EXPRESS,jueves,29.96,5.75,0.0537,14,22.4,22.32,2.78,4.9,0
101406,CD-Salto,TR-078,económico,lunes,24.66,2.12,0.0471,3,,10.34,2.66,,0
103043,CD-Canelones,TR-019,Express,miércoles,224.46,2.0,0.0355,3,12.2,17.67,5.85,4.0,0
101182,CD-Canelones,TR-096,Económico,martes,40.73,13.08,0.0665,9,16.7,12.55,3.49,4.4,0
100843,CD-Montevideo,TR-028,Estándar,lunes,22.5,8.42,0.0576,7,17.1,12.87,2.65,4.4,0
103338,CD-Salto,TR-053,Estándar,lunes,33.58,2.73,0.0528,9,19.1,16.47,3.56,4.8,0
100726,CD-Maldonado,TR-071,Express ,lunes,31.65,1.86,0.0229,5,19.3,8.67,4.17,2.3,0
101360,CD-Montevideo,TR-035,Estándar,sábado,24.47,23.45,0.1076,12,20.1,16.29,2.68,2.9,1
101868,CD-Montevideo,TR-036,Estándar,jueves,232.09,3.73,0.047,4,31.9,20.22,4.79,4.4,0
102796,CD-Montevideo,TR-097,Express,miércoles,265.05,4.82,0.0513,5,12.4,20.58,4.49,,1
101842,CD-Maldonado,TR-119,Estándar,miércoles,28.42,4.21,0.0312,8,21.6,13.61,1.26,3.2,0
102763,CD-Maldonado,TR-117,Estándar,martes,222.9,3.45,0.0458,3,10.7,15.38,3.77,,0
102787,CD-Montevideo,TR-013,Estándar,martes,200.82,6.81,0.0517,0,20.0,22.84,3.76,4.2,0
102745,CD-Montevideo,TR-012,Estándar,viernes,265.92,6.38,0.052,0,24.0,17.8,7.39,4.6,0
101824,CD-Montevideo,TR-054,ESTÁNDAR,miércoles,37.16,6.99,0.0768,5,18.7,11.59,3.69,3.4,0
102578,CD-Canelones,TR-031,Estándar,lunes,21.31,6.42,0.0529,6,23.9,8.59,1.97,4.7,0
100868,CD-Montevideo,TR-007,Estándar,lunes,29.59,3.81,0.0567,7,19.0,13.6,0.62,4.7,0
101474,CD-Canelones,TR-023,Estándar,lunes,30.96,2.27,0.0465,8,17.9,7.08,3.96,,0
101724,CD-Salto,TR-076,Estándar,miércoles,8.3,4.53,0.0409,11,,8.12,2.79,,1
100062,CD-Maldonado,TR-064,Estándar,viernes,289.68,7.03,,6,20.1,20.81,7.52,4.1,0
102384,CD-Montevideo,TR-001,EXPRESS,jueves,34.28,5.01,0.0459,11,31.2,13.06,5.31,4.8,0
103488,CD-Montevideo,TR-092,Express,sábado,227.85,17.11,0.0995,1,20.9,20.54,5.41,4.7,0
103243,CD-Canelones,TR-111,Express,martes,35.25,12.61,,14,12.7,17.91,4.03,3.4,0
101476,CD-Montevideo,TR-064,Express,martes,22.54,4.22,0.0304,7,16.6,11.64,4.35,4.2,0
101057,CD-Maldonado,TR-113,EXPRESS,martes,40.71,4.6,0.0488,6,19.0,9.64,2.68,3.2,1
103200,CD-Canelones,TR-074,EXPRESS,martes,29.61,2.11,0.0189,6,20.2,6.33,3.08,4.2,0
100334,CD-Montevideo,TR-112,Estándar,lunes,40.98,7.13,0.0536,6,9.6,11.59,1.87,4.0,0
100258,CD-Maldonado,TR-010,Express,jueves,24.64,2.55,0.0471,8,18.5,12.16,1.35,3.9,0
100550,CD-Salto,TR-020,Estándar,viernes,27.76,11.93,0.071,12,,18.47,4.19,4.4,0
100199,CD-Montevideo,TR-089,Estándar,jueves,32.47,2.4,0.0273,12,16.8,23.29,3.52,4.3,0
100776,CD-Salto,TR-032,Económico ,martes,11.28,1.15,0.0302,5,27.2,8.8,2.21,4.7,0
101762,CD-Canelones,TR-006,Estándar,jueves,22.91,3.46,0.0447,10,6.6,14.6,2.54,3.4,0
102355,CD-Salto,TR-016,EXPRESS,lunes,20.13,2.17,0.024,6,,7.16,2.76,4.3,0
100604,CD-Salto,TR-079,express,lunes,181.82,5.73,0.0541,3,16.7,14.75,3.99,2.9,1
100038,CD-Canelones,TR-096,Estándar,sábado,25.72,13.12,0.1218,8,19.3,16.7,4.92,2.6,0
100402,CD-Montevideo,TR-026,Económico,sábado,220.5,5.93,0.0885,3,17.2,25.63,4.96,3.4,0
100406,CD-Montevideo,TR-008,Estándar,martes,253.9,2.33,0.0238,1,22.2,18.41,4.57,3.9,0
103267,CD-Montevideo,TR-082,Económico,jueves,39.58,4.71,0.0461,9,17.0,7.1,3.06,4.3,0
102685,CD-Salto,TR-072,Estándar,jueves,27.19,2.37,0.0313,5,,10.28,2.37,,0
101641,CD-Montevideo,TR-113,Económico,sábado,26.86,10.74,0.0638,7,20.6,10.66,2.85,3.9,0
102259,CD-Maldonado,TR-079,Express,lunes,29.33,3.84,0.0435,7,19.4,14.64,1.59,4.7,0
101241,CD-Montevideo,TR-057,Express,miércoles,37.63,7.09,0.0488,4,18.3,9.13,1.63,4.0,0
102710,CD-Montevideo,TR-043,estándar,miércoles,16.32,3.08,0.0241,6,23.3,11.42,3.92,3.1,0
100963,CD-Canelones,TR-097,Económico,jueves,219.49,7.09,0.0634,2,21.4,16.77,4.21,3.9,0
100630,CD-Montevideo,TR-104,Estándar,martes,36.36,2.67,0.0347,11,15.3,16.25,3.71,4.0,0
100932,CD-Canelones,TR-005,Express,martes,38.46,15.57,0.0836,6,9.1,9.99,4.01,4.7,0
103561,CD-Maldonado,TR-103,Express,jueves,221.27,6.64,0.0403,1,25.2,16.52,4.76,3.0,0
102693,CD-Salto,TR-027,Estándar,lunes,179.28,3.95,,3,,18.87,3.1,3.7,0
102327,CD-Montevideo,TR-083,Económico,sábado,30.01,7.75,0.071,6,,11.05,9.29,2.6,1
103579,CD-Canelones,TR-013,Estándar,martes,44.51,7.31,0.0465,10,22.4,17.35,3.49,4.0,1
101589,CD-Salto,TR-014,Estándar,miércoles,231.65,9.41,0.0515,4,9.3,18.11,6.37,2.3,0
101190,CD-Montevideo,TR-052,Estándar,lunes,169.13,2.93,0.0431,2,-99.0,12.31,4.69,,0
100027,CD-Montevideo,TR-119,express,martes,34.04,2.86,0.0453,12,21.4,15.43,3.32,3.7,0
103321,CD-Maldonado,TR-054,Express,lunes,26.84,14.92,0.0945,7,16.9,13.38,3.3,4.6,0
102638,CD-Salto,TR-036,EXPRESS,lunes,26.75,8.65,0.0588,10,10.7,16.0,3.67,2.9,0
101772,CD-Maldonado,TR-095,Económico,miércoles,36.17,5.74,0.0369,7,19.2,14.76,3.38,4.3,0
102066,CD-Montevideo,TR-019,Express,viernes,174.29,2.99,0.0284,1,17.0,5.03,4.67,3.9,0
100438,CD-Canelones,TR-063,estándar,miércoles,24.86,6.07,0.0557,9,19.9,12.63,3.22,,0
102354,CD-Salto,TR-087,Estándar,jueves,22.73,6.63,0.0508,3,,5.63,1.32,4.5,0
101934,CD-Montevideo,TR-030,Express,lunes,290.9,6.27,0.0507,2,11.8,15.45,3.85,3.4,0
102769,CD-Salto,TR-047,Express,lunes,176520.0,5.13,0.0489,4,14.7,12.22,4.15,,0
101078,CD-Montevideo,TR-025,Estándar,lunes,22.97,4.49,,8,23.7,13.85,4.48,4.0,0
100246,CD-Montevideo,TR-012,Estándar,sábado,173.39,6.98,0.0795,1,10.5,15.03,2.23,4.0,1
100114,CD-Canelones,TR-095,Estándar,jueves,35.73,4.35,0.0322,12,16.4,12.9,2.13,3.7,0
100696,CD-Canelones,TR-089,estándar,viernes,34.61,4.16,0.0815,4,23.3,1.0,1.09,4.0,0
102662,CD-Canelones,TR-086,Estándar,miércoles,25.16,8.29,0.0612,2,17.1,12.52,1.78,3.5,0
102147,CD-Montevideo,TR-109,ESTÁNDAR,martes,351.5,6.36,0.0414,1,14.4,20.34,7.35,3.9,0
102871,CD-Canelones,TR-078,Económico,miércoles,30.51,5.73,0.0332,6,9.4,10.4,2.93,4.5,0
101039,CD-Montevideo,TR-095,económico,lunes,14.76,4.99,0.041,7,30.6,12.21,1.52,,0
100387,CD-Maldonado,TR-060,Económico ,martes,170.59,6.05,0.0832,3,16.3,11.16,3.65,3.7,1
100738,CD-Canelones,TR-007,Estándar,viernes,35.44,4.02,0.0447,4,17.4,10.92,1.85,3.6,0
100644,CD-Canelones,TR-076,Económico,martes,20.85,5.09,0.0369,7,18.8,8.5,2.43,2.7,0
100720,CD-Canelones,TR-041,Estándar,lunes,285.9,7.87,0.0648,4,7.0,19.18,7.6,3.3,1
101829,CD-Salto,TR-074,Estándar,martes,34.71,6.0,0.0542,5,12.5,10.67,4.12,4.5,0
101007,CD-Montevideo,TR-034,Económico,sábado,32.15,1.98,0.0336,1,25.6,5.99,1.89,4.3,0
101915,CD-Canelones,TR-034,estándar,lunes,14.71,5.53,0.0424,5,20.6,13.98,2.06,4.9,0
101663,CD-Salto,TR-093,Estándar,viernes,23.77,3.29,0.0398,12,,17.12,19.27,3.2,1
101569,CD-Montevideo,TR-016,Estándar ,martes,20.96,6.03,0.0344,5,22.4,7.16,1.06,4.6,0
102882,CD-Canelones,TR-008,Económico,viernes,286900.0,12.19,0.0646,2,20.6,21.96,5.43,4.2,0
102788,CD-Montevideo,TR-067,Estándar,martes,31.77,16.32,0.1055,10,18.4,17.69,2.86,2.4,0
100501,CD-Salto,TR-117,Estándar,miércoles,251.97,2.52,,1,,22.57,7.71,3.8,0
100217,CD-Maldonado,TR-020,Estándar,lunes,266.85,4.96,0.0415,1,17.5,19.07,3.92,4.0,0
103046,CD-Canelones,TR-076,Económico,lunes,178320.0,13.75,0.0888,6,16.3,14.34,4.97,3.9,1
100979,CD-Montevideo,TR-096,Express,jueves,299.54,8.59,0.0827,2,29.8,19.89,6.99,4.6,0
100702,CD-Canelones,TR-062,Estándar,jueves,9.67,4.99,0.0685,7,19.5,14.32,2.81,4.2,0
100695,CD-Montevideo,TR-093,Económico,martes,26.65,1.47,0.021,6,10.6,11.04,2.41,4.1,0
101506,CD-Maldonado,TR-068,Express,miércoles,35.44,12.43,0.0975,4,18.1,6.14,2.92,4.9,0
101318,CD-Salto,TR-022,Estándar,viernes,22.9,13.44,0.08,9,14.5,11.22,4.57,4.2,0
101893,CD-Salto,TR-102,Estándar,lunes,24.19,3.85,0.04,3,,10.68,2.23,4.2,0
101188,CD-Montevideo,TR-099,Estándar,martes,273.37,3.96,0.0269,2,22.8,13.43,7.52,4.5,0
102927,CD-Montevideo,TR-074,Estándar,sábado,36.73,4.84,0.0488,5,22.2,15.21,2.16,4.0,0
100100,CD-Salto,TR-043,Estándar,lunes,327.36,4.91,0.0365,2,,23.91,6.74,,0
102274,CD-Salto,TR-022,Económico,martes,313.37,8.79,0.0667,2,,19.45,6.82,4.2,0
102136,CD-Montevideo,TR-063,Económico,miércoles,38.79,4.12,0.0437,11,10.6,14.91,4.17,4.0,0
101810,CD-Maldonado,TR-046,Económico,sábado,193.66,26.6,0.1429,3,18.5,15.73,4.38,4.1,0
102726,CD-Maldonado,TR-079,ESTÁNDAR,lunes,33.55,6.76,0.0526,11,21.1,22.49,3.54,4.7,0
102917,CD-Maldonado,TR-070,Económico,jueves,27.79,8.52,0.0791,7,20.5,7.85,3.5,4.8,0
100185,CD-Maldonado,TR-080,Económico,martes,29.48,5.08,0.0316,9,22.1,13.45,5.94,,0
101236,CD-Canelones,TR-035,ECONÓMICO,martes,343.91,4.61,0.0569,4,7.0,24.32,7.46,4.4,0
100697,CD-Montevideo,TR-004,Estándar,martes,16.35,5.64,0.0529,8,,8.42,11.51,3.7,1
102715,CD-Canelones,TR-087,Estándar,viernes,30.96,5.84,0.0363,8,13.6,13.08,3.65,3.8,0
103193,CD-Montevideo,TR-019,ESTÁNDAR,miércoles,147.58,8.81,0.049,1,23.7,16.24,3.48,3.4,0
102804,CD-Montevideo,TR-049,Económico,miércoles,23.44,4.0,0.0272,11,17.9,11.97,2.93,,0
102047,CD-Montevideo,TR-065,Express ,lunes,258.05,7.42,0.0503,3,21.5,21.8,6.9,3.5,0
103594,CD-Canelones,TR-032,Estándar,lunes,38.09,3.09,0.0284,9,11.4,19.1,3.06,4.9,0
100638,CD-Canelones,TR-025,Estándar,miércoles,14.42,1.3,0.037,6,18.0,10.94,3.01,,0
100971,CD-Montevideo,TR-115,Estándar,martes,20.71,3.95,0.043,6,18.4,10.46,2.77,4.5,0
101346,CD-Maldonado,TR-026,ESTÁNDAR,martes,41.62,2.91,0.0322,6,11.7,13.19,2.09,3.2,0
100783,CD-Montevideo,TR-105,Estándar,lunes,23.27,6.6,0.043,8,23.1,13.69,3.51,3.8,0
102496,CD-Montevideo,TR-040,Estándar,martes,202.41,15.55,0.0997,3,19.2,13.7,4.7,4.1,0
101987,CD-Montevideo,TR-114,Estándar ,lunes,23.68,4.33,0.037,8,27.4,12.92,1.66,3.9,0
102156,CD-Montevideo,TR-107,Económico,miércoles,31.09,2.02,0.04,4,15.5,8.62,2.33,4.3,0
102734,CD-Montevideo,TR-012,Express,lunes,265.75,3.56,0.0824,3,19.3,12.36,5.27,,0
100668,CD-Montevideo,TR-084,Estándar,martes,36.86,4.86,0.0352,2,19.5,6.21,0.68,2.7,0
102346,CD-Montevideo,TR-093,Express,martes,25.47,4.79,0.082,5,19.0,10.25,1.53,1.0,0
102023,CD-Montevideo,TR-045,Express,sábado,19.15,4.41,,9,20.8,14.2,2.74,4.0,0
100712,CD-Maldonado,TR-058,Estándar,jueves,35.3,6.96,0.0675,7,19.3,12.98,3.93,4.4,0
101518,CD-Salto,TR-045,Estándar,martes,232.17,2.81,0.0397,0,16.2,18.84,5.49,,0
102702,CD-Montevideo,TR-061,económico,martes,313.28,7.49,,0,28.2,20.04,5.54,4.1,0
103020,CD-Canelones,TR-086,ESTÁNDAR,martes,25.28,2.76,0.0413,8,23.6,11.8,1.92,3.6,0
101091,CD-Canelones,TR-067,económico,martes,360.57,3.32,0.0266,3,22.1,28.65,7.78,3.9,0
100401,CD-Salto,TR-062,Estándar,martes,20.6,3.78,0.0373,3,,14.06,0.2,3.9,0
103234,CD-Montevideo,TR-045,Express,viernes,233.77,6.14,0.0511,2,17.4,12.12,5.15,,0
101694,CD-Montevideo,TR-066,Estándar,lunes,24.89,3.31,0.0365,6,20.8,15.04,1.32,4.4,0
100584,CD-Salto,TR-102,Estándar,jueves,50.49,12.55,0.0643,7,,13.3,1.95,3.5,0
101621,CD-Canelones,TR-096,Estándar,lunes,257.87,0.0,0.0343,3,6.8,16.25,7.8,,0
102801,CD-Montevideo,TR-082,Estándar,martes,15.14,4.78,0.0422,6,23.8,12.85,4.16,4.2,0
101865,CD-Montevideo,TR-009,Estándar,miércoles,273.75,4.31,0.0778,2,25.5,22.01,6.53,4.4,0
100140,CD-Canelones,TR-005,Estándar,sábado,26.76,3.64,0.0584,5,27.8,11.12,2.56,4.6,0
103581,CD-Montevideo,TR-065,estándar,viernes,23.72,3.91,0.0571,7,22.0,12.21,4.37,4.6,0
100212,CD-Salto,TR-082,Estándar,viernes,288.29,7.14,0.0645,2,16.0,23.88,5.19,4.5,0
103201,CD-Salto,TR-033,Económico,lunes,41.18,5.03,0.0631,1,15.1,8.99,0.97,4.5,0
100141,CD-Montevideo,TR-034,Económico,martes,21.36,6.25,0.0655,8,19.2,13.96,2.01,3.1,0
101959,CD-Maldonado,TR-053,Económico,jueves,29.26,6.73,0.0669,7,18.7,11.38,2.86,4.3,0
100765,CD-Montevideo,TR-036,Económico,martes,221.61,3.08,0.0406,0,23.9,18.33,5.04,5.0,0
102223,CD-Montevideo,TR-085,Express,viernes,19.24,7.87,0.0704,6,10.1,13.66,1.64,2.7,0
102441,CD-Salto,TR-002,Estándar,martes,258.77,8.12,0.0468,2,19.4,25.17,7.14,4.3,0
102861,CD-Montevideo,TR-113,Estándar,martes,20.49,7.6,0.0435,4,18.4,3.07,2.81,4.7,0
100946,CD-Montevideo,TR-111,Estándar,martes,31.41,5.05,0.0606,5,17.1,13.28,2.23,3.6,1
102721,CD-Canelones,TR-119,express,martes,238.75,7.88,0.0565,2,17.2,19.57,4.87,4.6,0
102521,CD-Canelones,TR-062,ESTÁNDAR,miércoles,29.84,4.0,0.0314,8,27.2,8.37,4.56,2.7,1
102756,CD-Canelones,TR-113,Estándar,lunes,264.99,1.0,0.0313,2,15.3,21.91,6.83,3.6,0
101258,CD-Maldonado,TR-070,Estándar,miércoles,27.06,2.46,,8,21.9,10.01,4.07,4.1,0
100095,CD-Maldonado,TR-087,Estándar,sábado,11.82,2.5,0.0517,4,24.9,9.32,2.03,3.4,0
100492,CD-Salto,TR-098,ESTÁNDAR,miércoles,6.56,8.37,0.0629,5,25.5,11.98,1.66,2.8,0
102525,CD-Salto,TR-077,Estándar,viernes,27.69,11.08,0.0633,4,,12.46,3.08,4.2,0
